event_url,issue_id,session_event_key,session_id_full,session_id_base,report_index,event_id,user_id_base,user_id_suffix,identification_link,app_version,os_version,os_major_version,model,date,crash_kind,nserror_code,nserror_domain,source,status,configuration,breadcrumbs_status,nslocalized_description,orientation_device,ram_free_mib,jailbroken,orientation_os,outcome,reason,last_step,steps_reached,screen_views,n_status_changes,first_breadcrumb_ts,last_breadcrumb_ts,session_elapsed_s
https://console.firebase.google.com/project/webszigno-dev-1532086359290/crashlytics/app/ios:hu.microsec.eszigno.mobile/issues/66ab9689c1addf4cdac8881ddf52eff2?time=3d&versions=3.8.2+%282823%29&types=error&sessionEventKey=3db7f1e2e945485f953eb739232ba725_2251213219012311936,66ab9689c1addf4cdac8881ddf52eff2,3db7f1e2e945485f953eb739232ba725_2251213219012311936,,3db7f1e2e945485f953eb739232ba725,,2251213219012311936,,,not available,3.8.2 (2823),iOS 26.5.2,26,iPhone SE (3rd generation),"Aug 11, 2026, 3:37:02 PM",handleFlow,0,FaceKom handleFlow,Logged in videoId,eSzigno.SelfServicePresenter.Status.finished,PROD Release,downloaded,,,,,,,,,,,,,,
https://console.firebase.google.com/project/webszigno-dev-1532086359290/crashlytics/app/ios:hu.microsec.eszigno.mobile/issues/1782c2128a0148281dace39bf8664159?time=90d&versions=3.8.2+%282823%29&types=error&sessionEventKey=3db7f1e2e945485f953eb739232ba725_2251213210422377343,1782c2128a0148281dace39bf8664159,3db7f1e2e945485f953eb739232ba725_2251213210422377343,,3db7f1e2e945485f953eb739232ba725,,2251213210422377343,,,not available,3.8.2 (2823),iOS 26.5.2,26,iPhone SE (3rd generation),"Aug 11, 2026, 3:37:00 PM",SelfServiceRuntimeError,30803,hu.microsec.eszigno.mobile.SelfServiceRuntimeError,Logged in videoId,eSzigno.SelfServicePresenter.Status.finished,PROD Release,downloaded,Facekom végzett finished státusszal.,,,,,,,,,,,,,
https://console.firebase.google.com/project/webszigno-dev-1532086359290/crashlytics/app/ios:hu.microsec.eszigno.mobile/issues/1782c2128a0148281dace39bf8664159?time=90d&versions=3.8.2+%282823%29&types=error&sessionEventKey=3db7f1e2e945485f953eb739232ba725_2251213210422377342,1782c2128a0148281dace39bf8664159,3db7f1e2e945485f953eb739232ba725_2251213210422377342,,3db7f1e2e945485f953eb739232ba725,,2251213210422377342,ede97b54-d106-4446-8c4a-c2faf5163b5f,,https://videoid-mobile.e-szigno.hu/identification/ede97b54-d106-4446-8c4a-c2faf5163b5f,3.8.2 (2823),iOS 26.5.2,26,iPhone SE (3rd generation),"Aug 11, 2026, 3:37:00 PM",SelfServiceRuntimeError,30803,hu.microsec.eszigno.mobile.SelfServiceRuntimeError,Logged in videoId,eSzigno.SelfServicePresenter.Status.finished,PROD Release,downloaded,Facekom végzett finished státusszal.,,,,,,,,,,,,,
https://console.firebase.google.com/project/webszigno-dev-1532086359290/crashlytics/app/ios:hu.microsec.eszigno.mobile/issues/1782c2128a0148281dace39bf8664159?time=90d&versions=3.8.2+%282823%29&types=error&sessionEventKey=3db7f1e2e945485f953eb739232ba725_2251213141702900605,1782c2128a0148281dace39bf8664159,3db7f1e2e945485f953eb739232ba725_2251213141702900605,,3db7f1e2e945485f953eb739232ba725,,2251213141702900605,ede97b54-d106-4446-8c4a-c2faf5163b5f,,https://videoid-mobile.e-szigno.hu/identification/ede97b54-d106-4446-8c4a-c2faf5163b5f,3.8.2 (2823),iOS 26.5.2,26,iPhone SE (3rd generation),"Aug 11, 2026, 3:36:44 PM",SelfServiceRuntimeError,30802,hu.microsec.eszigno.mobile.SelfServiceRuntimeError,Logged in videoId,eSzigno.SelfServicePresenter.Status.finished,PROD Release,downloaded,"FaceKom session háttérbe lépett a(z): 2-factor lépésnél, isVideoStep: false, isVideoRecordingStarted: false.",,,,,,,,,,,,,
