event_url,issue_id,session_event_key,session_id_full,session_id_base,report_index,event_id,user_id_base,user_id_suffix,identification_link,app_version,os_version,os_major_version,model,date,crash_kind,nserror_code,nserror_domain,source,status,configuration,breadcrumbs_status,nslocalized_description,orientation_device,ram_free_mib,jailbroken,orientation_os,outcome,reason,last_step,steps_reached,screen_views,n_status_changes,first_breadcrumb_ts,last_breadcrumb_ts,session_elapsed_s
https://console.firebase.google.com/project/webszigno-dev-1532086359290/crashlytics/app/ios:hu.microsec.eszigno.mobile/issues/1782c2128a0148281dace39bf8664159?time=90d&versions=3.7.1+%282759%29&types=error&sessionEventKey=686afcbbe1b1401ca4adca049ec02077_2223093513892680131,1782c2128a0148281dace39bf8664159,686afcbbe1b1401ca4adca049ec02077_2223093513892680131,,686afcbbe1b1401ca4adca049ec02077,,2223093513892680131,,,not available,3.7.1 (2759),iOS 26.5.0,26,iPhone 12 Pro,"May 27, 2026, 8:58:13 PM",SelfServiceRuntimeError,30803,hu.microsec.eszigno.mobile.SelfServiceRuntimeError,videoId,eSzigno.SelfServicePresenter.Status.finished,PROD Release,downloaded,"Facekom finished with state: aborted(message: Optional(""Ismeretlen hiba történt!""))",,,,,,,,,,,,,
https://console.firebase.google.com/project/webszigno-dev-1532086359290/crashlytics/app/ios:hu.microsec.eszigno.mobile/issues/1782c2128a0148281dace39bf8664159?time=90d&versions=3.7.1+%282759%29&types=error&sessionEventKey=3c7084e3e3664c668b9e466820919c61_2223090811529527653,1782c2128a0148281dace39bf8664159,3c7084e3e3664c668b9e466820919c61_2223090811529527653,,3c7084e3e3664c668b9e466820919c61,,2223090811529527653,,,not available,3.7.1 (2759),iOS 26.4.2,26,iPhone SE (3rd generation),"May 27, 2026, 8:47:44 PM",SelfServiceRuntimeError,30803,hu.microsec.eszigno.mobile.SelfServiceRuntimeError,videoId,eSzigno.SelfServicePresenter.Status.aborted,PROD Release,downloaded,"Facekom finished with state: aborted(message: Optional(""Unexpected error""))",,,,,,,,,,,,,
https://console.firebase.google.com/project/webszigno-dev-1532086359290/crashlytics/app/ios:hu.microsec.eszigno.mobile/issues/1782c2128a0148281dace39bf8664159?time=90d&versions=3.7.1+%282759%29&types=error&sessionEventKey=3c7084e3e3664c668b9e466820919c61_2223089982600839523,1782c2128a0148281dace39bf8664159,3c7084e3e3664c668b9e466820919c61_2223089982600839523,,3c7084e3e3664c668b9e466820919c61,,2223089982600839523,,,not available,3.7.1 (2759),iOS 26.4.2,26,iPhone SE (3rd generation),"May 27, 2026, 8:44:31 PM",SelfServiceRuntimeError,30803,hu.microsec.eszigno.mobile.SelfServiceRuntimeError,videoId,eSzigno.SelfServicePresenter.Status.aborted,PROD Release,downloaded,"Facekom finished with state: aborted(message: Optional(""Unexpected error""))",,,,,,,,,,,,,
https://console.firebase.google.com/project/webszigno-dev-1532086359290/crashlytics/app/ios:hu.microsec.eszigno.mobile/issues/1782c2128a0148281dace39bf8664159?time=90d&versions=3.7.1+%282759%29&types=error&sessionEventKey=3c7084e3e3664c668b9e466820919c61_2223088638276075873,1782c2128a0148281dace39bf8664159,3c7084e3e3664c668b9e466820919c61_2223088638276075873,,3c7084e3e3664c668b9e466820919c61,,2223088638276075873,,,not available,3.7.1 (2759),iOS 26.4.2,26,iPhone SE (3rd generation),"May 27, 2026, 8:39:18 PM",SelfServiceRuntimeError,30803,hu.microsec.eszigno.mobile.SelfServiceRuntimeError,videoId,eSzigno.SelfServicePresenter.Status.aborted,PROD Release,downloaded,"Facekom finished with state: aborted(message: Optional(""Unexpected error""))",,,,,,,,,,,,,
https://console.firebase.google.com/project/webszigno-dev-1532086359290/crashlytics/app/ios:hu.microsec.eszigno.mobile/issues/1782c2128a0148281dace39bf8664159?time=90d&versions=3.7.1+%282759%29&types=error&sessionEventKey=3c7084e3e3664c668b9e466820919c61_2223088204484378975,1782c2128a0148281dace39bf8664159,3c7084e3e3664c668b9e466820919c61_2223088204484378975,,3c7084e3e3664c668b9e466820919c61,,2223088204484378975,,,not available,3.7.1 (2759),iOS 26.4.2,26,iPhone SE (3rd generation),"May 27, 2026, 8:37:37 PM",SelfServiceRuntimeError,30803,hu.microsec.eszigno.mobile.SelfServiceRuntimeError,videoId,eSzigno.SelfServicePresenter.Status.aborted,PROD Release,downloaded,"Facekom finished with state: aborted(message: Optional(""Unexpected error""))",,,,,,,,,,,,,
https://console.firebase.google.com/project/webszigno-dev-1532086359290/crashlytics/app/ios:hu.microsec.eszigno.mobile/issues/1782c2128a0148281dace39bf8664159?time=90d&versions=3.7.1+%282759%29&types=error&sessionEventKey=0f28fdb9aa4c4ae0a359edbb658720e1_2223042151475587092,1782c2128a0148281dace39bf8664159,0f28fdb9aa4c4ae0a359edbb658720e1_2223042151475587092,,0f28fdb9aa4c4ae0a359edbb658720e1,,2223042151475587092,,,not available,3.7.1 (2759),iOS 26.5.0,26,iPhone 17,"May 27, 2026, 5:38:54 PM",SelfServiceRuntimeError,30803,hu.microsec.eszigno.mobile.SelfServiceRuntimeError,videoId,eSzigno.SelfServicePresenter.Status.finished,PROD Release,downloaded,Facekom finished with state: finished,,,,,,,,,,,,,
https://console.firebase.google.com/project/webszigno-dev-1532086359290/crashlytics/app/ios:hu.microsec.eszigno.mobile/issues/1782c2128a0148281dace39bf8664159?time=90d&versions=3.7.1+%282759%29&types=error&sessionEventKey=23c77b3a244b426da196672b335a6ccc_2223024137397199545,1782c2128a0148281dace39bf8664159,23c77b3a244b426da196672b335a6ccc_2223024137397199545,,23c77b3a244b426da196672b335a6ccc,,2223024137397199545,,,not available,3.7.1 (2759),iOS 26.4.2,26,iPhone 16,"May 27, 2026, 4:29:00 PM",SelfServiceRuntimeError,30803,hu.microsec.eszigno.mobile.SelfServiceRuntimeError,Logged out videoId,eSzigno.SelfServicePresenter.Status.finished,PROD Release,downloaded,Facekom finished with state: finished,,,,,,,,,,,,,
https://console.firebase.google.com/project/webszigno-dev-1532086359290/crashlytics/app/ios:hu.microsec.eszigno.mobile/issues/1782c2128a0148281dace39bf8664159?time=90d&versions=3.7.1+%282759%29&types=error&sessionEventKey=ceb92f289c7e49318232eeff23e458c1_2223023560672700431,1782c2128a0148281dace39bf8664159,ceb92f289c7e49318232eeff23e458c1_2223023560672700431,,ceb92f289c7e49318232eeff23e458c1,,2223023560672700431,,,not available,3.7.1 (2759),iOS 26.4.1,26,iPhone 15 Pro,"May 27, 2026, 4:26:46 PM",SelfServiceRuntimeError,30803,hu.microsec.eszigno.mobile.SelfServiceRuntimeError,videoId,eSzigno.SelfServicePresenter.Status.finished,PROD Release,downloaded,Facekom finished with state: finished,,,,,,,,,,,,,
https://console.firebase.google.com/project/webszigno-dev-1532086359290/crashlytics/app/ios:hu.microsec.eszigno.mobile/issues/1782c2128a0148281dace39bf8664159?time=90d&versions=3.7.1+%282759%29&types=error&sessionEventKey=ceb92f289c7e49318232eeff23e458c1_2223023470478387214,1782c2128a0148281dace39bf8664159,ceb92f289c7e49318232eeff23e458c1_2223023470478387214,,ceb92f289c7e49318232eeff23e458c1,,2223023470478387214,,,not available,3.7.1 (2759),iOS 26.4.1,26,iPhone 15 Pro,"May 27, 2026, 4:26:25 PM",SelfServiceRuntimeError,30802,hu.microsec.eszigno.mobile.SelfServiceRuntimeError,videoId,eSzigno.SelfServicePresenter.Status.finished,PROD Release,downloaded,"FaceKom session did enter background at step: 2-factor, isVideoStep: false.",,,,,,,,,,,,,
https://console.firebase.google.com/project/webszigno-dev-1532086359290/crashlytics/app/ios:hu.microsec.eszigno.mobile/issues/1782c2128a0148281dace39bf8664159?time=90d&versions=3.7.1+%282759%29&types=error&sessionEventKey=23c77b3a244b426da196672b335a6ccc_2223022831727141559,1782c2128a0148281dace39bf8664159,23c77b3a244b426da196672b335a6ccc_2223022831727141559,,23c77b3a244b426da196672b335a6ccc,,2223022831727141559,,,not available,3.7.1 (2759),iOS 26.4.2,26,iPhone 16,"May 27, 2026, 4:23:56 PM",SelfServiceRuntimeError,30803,hu.microsec.eszigno.mobile.SelfServiceRuntimeError,Logged out videoId,eSzigno.SelfServicePresenter.Status.finished,PROD Release,downloaded,"Facekom finished with state: failed(title: Optional(""Sikertelen ellenőrzés""), subtitle: Optional(""Hibakód: 0006\nA QR-kód leolvasásával indítsa újra a folyamatot!""), message: nil)",,,,,,,,,,,,,
